metric,value,period_end,form,unit
Revenues,6640285.0,2026-02-28,10-Q,USD
NetIncomeLoss,196442.0,2026-02-28,10-Q,USD
OperatingIncomeLoss,330017.0,2026-02-28,10-Q,USD
GrossProfit,1911460.0,2026-02-28,10-Q,USD
Assets,24563832.0,2026-02-28,10-Q,USD
Liabilities,11018185.0,2026-02-28,10-Q,USD
StockholdersEquity,13545647.0,2026-02-28,10-Q,USD
CashAndCashEquivalentsAtCarryingValue,2937.0,2026-02-28,10-Q,USD
LongTermDebt,2450892.0,2026-02-28,10-Q,USD
EarningsPerShareBasic,0.04,2026-02-28,10-Q,USD/shares
