ticker,shortName,sector,industry,marketCap,enterpriseValue,totalRevenue,revenueGrowth,grossMargins,operatingMargins,ebitda,freeCashflow,totalCash,totalDebt,enterpriseToRevenue,enterpriseToEbitda,numberOfAnalystOpinions,recommendationKey,fiftyTwoWeekLow,fiftyTwoWeekHigh,currentPrice,heldPercentInstitutions,shortRatio,sharesOutstanding,floatShares,fullTimeEmployees,error,ev_bucket,ev_to_rev,pct_from_52wk_high
CAPS,Capstone Holding Corp.,Basic Materials,Building Materials,3992311.0,34361164.0,51618000.0,0.6,0.24091999,-0.11847,-3216000.0,-11732250.0,419000.0,30898000.0,0.666,-10.684,1.0,none,0.26,2.07,0.3162,0.0141199995,0.02,12625905.0,7216841.0,93.0,,$30-50M,0.666,-84.72463768115942
JCTC,Jewett-Cameron Trading Company,Basic Materials,Lumber & Wood Production,7744249.0,12423326.0,42166864.0,0.164,0.07856,-0.10551,-6718357.0,-1943330.0,546614.0,4275261.0,0.295,-1.849,,none,1.54,4.02,2.2,0.20047002,0.08,3520113.0,3473401.0,45.0,,$10-30M,0.295,-45.273631840796014
ACCS,ACCESS Newswire Inc.,Communication Services,Advertising Agencies,24690436.0,23883880.0,22470000.0,-0.027,0.75621,-0.08053,1252000.0,-193125.0,3487000.0,2982000.0,1.063,19.077,2.0,none,5.99,13.35,6.36,0.44439,1.32,3882144.0,2009690.0,91.0,,$10-30M,1.063,-52.359550561797754
BBGI,"Beasley Broadcast Group, Inc.",Communication Services,Broadcasting,28268704.0,289401760.0,199615904.0,-0.129,0.08051,-0.11193,-1288271.0,,9936783.0,270690496.0,1.45,-224.644,,none,3.14,26.37,15.65,0.23615,0.38,973170.0,641709.0,460.0,,$250-500M,1.45,-40.65225635191505
CDLX,"Cardlytics, Inc. Common Stock",Communication Services,Advertising Agencies,40853948.0,191297840.0,211156992.0,-0.446,0.47457,-0.24109,-15639000.0,19048624.0,59803000.0,210028000.0,0.906,-12.232,4.0,none,0.57,3.28,0.7092,0.30146998,7.99,57605677.0,49876723.0,275.0,,$150-250M,0.906,-78.3780487804878
DRCT,"Direct Digital Holdings, Inc.",Communication Services,Advertising Agencies,2018186.0,13656315.0,33217000.0,-0.181,0.30972,-0.48668,-12050000.0,-3914750.0,796000.0,17470000.0,0.411,-1.133,1.0,none,2.17,172.7,2.88,0.06401,0.04,700759.0,695938.0,73.0,,$10-30M,0.411,-98.332368268674
EDUC,Educational Development Corpora,Communication Services,Publishing,12384035.0,17939178.0,22913600.0,-0.37,0.59372,-0.57478,-5793700.0,27383812.0,1118400.0,6716100.0,0.783,-3.096,,none,1.0,1.84,1.455,0.21260001,0.02,8511364.0,6381906.0,64.0,,$10-30M,0.783,-20.923913043478258
GAME,"GameSquare Holdings, Inc.",Communication Services,Electronic Gaming & Multimedia,38649896.0,41016660.0,44999304.0,1.424,0.43368998,-0.1597,-10983947.0,-2089941.0,4604781.0,4340696.0,0.911,-3.734,2.0,strong_buy,0.235,2.87,0.4125,0.19490999,0.3,93696723.0,84989036.0,144.0,,$30-50M,0.911,-85.62717770034844
GIFT,"Giftify, Inc.",Communication Services,Internet Content & Information,29678806.0,31084616.0,82262104.0,-0.041,0.18858999,-0.12487,-7548973.0,5092674.0,3431974.0,4909415.0,0.378,-4.118,1.0,buy,0.74,1.8,0.8701,0.10744,0.65,34109649.0,22408675.0,40.0,,$30-50M,0.378,-51.66111111111111
MSGM,Motorsport Games Inc.,Communication Services,Electronic Gaming & Multimedia,17280588.0,13144544.0,13570734.0,1.293,0.84193003,0.26898,4480552.0,581400.0,5859299.0,8724.0,0.969,2.934,,none,2.105,5.558,4.14,0.11253,1.22,4174055.0,2852758.0,26.0,,$10-30M,0.969,-25.51277437927313
RDI,Reading International Inc,Communication Services,Entertainment,38122508.0,382573504.0,207943008.0,0.123,0.14380999,-0.08049,12194250.0,,5524000.0,362268992.0,1.84,31.373,,none,0.94,1.65,1.09,0.40831003,1.21,21036670.0,15250097.0,2025.0,,$250-500M,1.84,-33.93939393939394
SNAL,"Snail, Inc.",Communication Services,Electronic Gaming & Multimedia,38462092.0,33792100.0,88409408.0,0.357,0.31941998,0.07729,-8564602.0,16478481.0,14259168.0,14861617.0,0.382,-3.946,1.0,strong_buy,0.339,2.16,0.9024,0.03885,0.32,13873422.0,12192450.0,166.0,,$30-50M,0.382,-58.22222222222222
SURG,"SurgePays, Inc.",Communication Services,Telecom Services,14816894.0,27708948.0,62369472.0,0.511,-0.24601999,-0.70066,-33478864.0,-5059820.0,1991166.0,15511295.0,0.444,-0.828,1.0,strong_buy,0.46,3.45,0.5898,0.087740004,0.84,25121895.0,17538851.0,125.0,,$10-30M,0.444,-82.90434782608696
SWAG,"Stran & Company, Inc.",Communication Services,Advertising Agencies,38103416.0,25598210.0,118746000.0,0.089,0.29803,0.020639999,353000.0,-40625.0,13576000.0,2197000.0,0.216,72.516,,none,1.05,3.5,2.03,0.16734,0.25,18770157.0,9749783.0,154.0,,$10-30M,0.216,-42.00000000000001
