ticker,name,industry,sector,group,seen,ev_m,ev_rev,ev_ebitda,op_margin,ind_median,delta_pp,read,med_basis,pctile,inst_pct,inst_trend,float_pct,float_m,dollar_float_m,thin,analysts,hook
MSGM,Motorsport Games Inc.,Electronic Gaming & Multimedia,Communication Services,D,False,13.1,0.97,2.9,26.9,-8.1,34.9,Above,sec(5),98.0,11.3,sparse,68.3,2.9,11.8,THIN,0,"racing-sim turnaround, net cash"
ZDGE,"Zedge, Inc.",Internet Content & Information,Communication Services,F,True,20.6,0.66,7.2,10.0,-4.2,14.2,Above,ind,81.0,17.4,sparse,83.1,10.4,32.2,,1,"mobile-content app, net cash, buybacks"
GTIM,Good Times Restaurants Inc.,Restaurants,Consumer Cyclical,B,True,50.2,0.37,9.8,1.5,1.6,-0.1,In-line,ind,38.0,10.7,sparse,79.8,8.4,11.0,THIN,0,"two-brand burger chain, lease-levered"
JRSH,"Jerash Holdings (US), Inc.",Apparel Manufacturing,Consumer Cyclical,F,True,41.4,0.27,5.6,4.7,-0.9,5.6,Above,sec(5),78.0,9.0,sparse,49.8,6.3,21.6,THIN,2,"Jordan garment mfr, net cash, dividend"
LIVE,Live Ventures Incorporated,Home Improvement Retail,Consumer Cyclical,A,True,248.8,0.57,7.4,1.9,-0.9,2.9,Above,sec(2),64.0,7.3,sparse,28.3,0.9,9.1,THIN,0,"Hardy-style holdco roll-up, high leverage"
TLF,"Tandy Leather Factory, Inc.",Specialty Retail,Consumer Cyclical,F,True,36.7,0.48,356.0,1.9,-11.3,13.1,Above,ind,83.0,58.7,sparse,46.5,3.8,8.9,THIN,0,"leathercraft retailer, net cash, illiquid"
JVA,"Coffee Holding Co., Inc.",Packaged Foods,Consumer Defensive,E,False,27.1,0.27,7.3,9.3,3.7,5.6,Above,ind,77.0,22.4,sparse,80.1,4.6,19.7,THIN,0,"coffee roaster/trader, commodity spread"
CCEL,"Cryo-Cell International, Inc.",Medical Care Facilities,Healthcare,D,False,37.0,1.18,31.5,10.0,-3.0,13.0,Above,ind,89.0,12.0,sparse,51.9,4.2,14.6,THIN,0,"cord-blood bank, recurring storage annuity"
NSYS,Nortech Systems Incorporated,Medical Devices,Healthcare,D,True,62.0,0.51,16.0,0.2,-47.2,47.3,Above,ind,89.0,3.5,sparse,35.3,1.0,15.0,THIN,0,"EMS contract mfr, near-zero margin"
ARTW,"Art's-Way Manufacturing Co., In",Farm & Heavy Construction Machinery,Industrials,E,False,20.0,0.82,14.2,5.0,-3.8,8.8,Above,sec(5),78.0,6.7,sparse,39.3,2.0,5.4,THIN,0,"farm-equipment + modular bldgs, microcap"
QRHC,Quest Resource Holding Corporat,Waste Management,Industrials,B,True,89.9,0.37,12.1,0.4,-54.2,54.6,Above,ind,83.0,35.1,→ 12B/14S net +$2.5M (sellers>buyers),62.0,13.0,15.1,THIN,2,"asset-light waste broker, debt-heavy"
KPLT,"Katapult Holdings, Inc.",Software - Infrastructure,Technology,B,True,107.1,0.36,0.5,5.5,-29.3,34.8,Above,ind,86.0,39.4,sparse,90.5,4.3,26.6,THIN,2,"lease-to-own fintech, debt stub"
AVD,American Vanguard Corporation,Agricultural Inputs,Basic Materials,B,False,290.0,0.56,9.6,4.3,1.1,3.2,Above,sec(2),73.0,67.8,↑ 41B/40S net +$9.5M,93.4,26.7,70.4,,0,"ag-chem, debt-heavy post-restatement"
CMT,Core Molding Technologies Inc,Specialty Chemicals,Basic Materials,E,False,221.2,0.82,8.5,3.0,-0.7,3.7,Above,ind,83.0,80.5,↑ 33B/32S net +$14M,83.2,7.1,173.4,,1,"composite molder, customer-concentrated"
FRD,Friedman Industries Inc.,Steel,Basic Materials,E,False,262.6,0.45,11.3,2.3,1.1,1.2,In-line,sec(2),53.0,54.1,↑ 26B/15S net +$1.3M,93.7,6.7,162.2,,0,"steel processor, hedge-driven earnings"
