ticker,name,industry,sector,group,seen,ev_m,ev_rev,ev_ebitda,op_margin,ind_median,delta_pp,read,med_basis,pctile,inst_pct,inst_trend,float_pct,float_m,dollar_float_m,thin,analysts,hook,revenueGrowth,fullTimeEmployees,totalCash,totalDebt,sf_own_dependence,sf_under_prof,sf_no_mna,sf_under_invest,sf_succession,sf_composite,sf_depth,sf_why,macro,structure,macro_note,macro_depth
WEYS,"Weyco Group, Inc.",Footwear & Accessories,Consumer Cyclical,F,False,256.2,0.93,7.8,11.1,-0.9,12.0,Above,sec(5),91.0,25.6,↑ 26B/12S net +$4.4M,59.2,5.6,200.0,,0,"cheap clean operator, neglected",-0.0,408.0,90763000.0,9785000.0,High,High,Med,High,High,9,full,"Florsheim family 53pct voting; Thomas Jr CEO since 2002, age 67; family CFO; brands mostly built not bought; declining rev, dividend-payer. Classic aging-founder-family operate target.",Headwind,Barbell,Men's dress (~65% rev) in secular casualization decline + heavy import/tariff exposure (margin -210bps); BOGS only growth vector; declining-brand tail.,researched
JVA,"Coffee Holding Co., Inc.",Packaged Foods,Consumer Defensive,E,False,27.1,0.27,7.3,9.3,3.7,5.6,Above,ind,77.0,22.4,sparse,80.1,4.6,19.7,THIN,0,"coffee roaster/trader, commodity spread",0.2,92.0,2746491.0,4826553.0,High,High,Med,Med,Med,7,full,"Gordon family; Andrew Gordon is CEO+CFO+Treasurer (one-man finance = key-man + under-prof); founder's son; HAS done a distressed tuck-in (Empire Coffee, Nov-2024 ~60c on the dollar) + plant consolidation, so no-M&A downgraded High->Med; build-up barely begun (1 deal) = runway remains. Age unverified.",Headwind,Barbell,"Record bean prices squeeze margins (price-taker on beans, price-follower on shelf); demand durable + trade-down aids private label; fragmented co-packer tail = roll-up targets.",researched
BDL,"Flanigan's Enterprises, Inc.",Restaurants,Consumer Cyclical,F,True,102.3,0.48,6.6,7.2,1.6,5.6,Above,ind,69.0,10.4,sparse,35.9,0.7,23.0,THIN,0,Florida bar/restaurant + package liquor,0.059,773.0,22831000.0,47171000.0,High,High,High,Med,Med,8,full,"Flanigan family ~45pct; James Flanigan CEO since 2005 (21yr); named after founder; single FL bar/restaurant+liquor, never acquired; tiny corp staff. CEO age unverified.",Neutral,Fragmented,"FL tourism/in-migration demand (cooling) vs heavy cost stack (labor->$15, insurance); full-service recovering, liquor soft; scarce transferable quota liquor licenses = moat.",researched
PNRG,PrimeEnergy Resources Corporati,Oil & Gas E&P,Energy,E,False,267.8,1.49,2.7,13.3,7.6,5.7,Above,ind,53.0,36.7,↑ 50B/29S net +$37M,36.8,0.6,97.1,THIN,1,"tiny levered-up Permian E&P, illiquid",-0.164,67.0,19373000.0,806000.0,High,Med,High,High,Med,8,full,"Drimal family 56.7pct control; CEO since 2011; single Permian E&P, explicitly NO M&A; aggressive buyback (7.6M to 1.6M sh) = returns cash vs reinvest; illiquid. Age unverified.",Neutral,Fragmented,Permian E&P; oil price range-bound + disciplined-capex flat rigs (gas firmer than oil); productivity gains hold output; tiny illiquid; fragmented small-E&P tail.,researched
FONR,Fonar Corporation,Diagnostics & Research,Healthcare,F,False,102.1,0.97,7.4,9.2,-21.4,30.6,Above,ind,89.0,40.3,↑ 18B/8S net +$6M,93.6,5.8,110.0,,0,"MRI maker + scan-center operator, net cash",-0.026,535.0,53772000.0,38831000.0,High,Med,High,Med,High,8,full,Founder's son Timothy Damadian CEO+Treasurer+Chairman; single MRI biz. THESIS ALREADY PLAYING OUT: agreed Dec-2025 to be taken private by CEO-led group at $98.6M. Validates the type; no longer actionable.,Tailwind,Fragmented,MRI maker + scan-center operator; aging-driven imaging demand + net cash; already agreed take-private Dec-2025 (validates type); fragmented imaging-center tail.,judgment
GENC,"Gencor Industries, Inc.",Farm & Heavy Construction Machinery,Industrials,F,True,57.0,0.55,3.7,21.2,-3.8,25.0,Above,sec(5),95.0,62.7,sparse,81.6,10.1,142.2,,1,"asphalt-plant maker, huge net cash hoard",-0.115,318.0,155134000.0,156000.0,High,Med,High,High,Med,8,full,"EJ Elliott founded 1968, Class B family elects 75pct of board; huge net-cash hoard never deployed; single asphalt-plant biz. BUT founder retired Dec-2025, son Marc takes over -> internal succession, no outside-seller motivation.",Neutral,Consolidated,"Asphalt-plant maker; infrastructure/IIJA road-paving demand supports but lumpy + steel-input cost; net-cash hoard; few US plant makers, consolidated.",judgment
ACU,Acme,Household & Personal Products,Consumer Defensive,C,False,206.8,1.02,9.9,3.3,-2.8,6.1,Above,ind,86.0,74.1,↑ 27B/24S net +$2.7M,78.2,3.0,125.7,,1,"cutting tools+first-aid, family-run",0.138,649.0,4196000.0,49399000.0,High,Med,Med,Med,High,7,full,"Walter Johnsen CEO since 1995, age 74, 16.2pct owner-operator; succession wide open. NOT a founding family (1867) and DOES tuck-in acquisitions so build-up lever partly pulled.",Neutral,Fragmented,Cutting tools + first-aid/safety; steady industrial-MRO + safety-reg demand; some steel-input/tariff cost; serial tuck-in acquirer in fragmented niche supply.,judgment
ARTW,"Art's-Way Manufacturing Co., In",Farm & Heavy Construction Machinery,Industrials,E,False,20.0,0.82,14.2,5.0,-3.8,8.8,Above,sec(5),78.0,6.7,sparse,39.3,2.0,5.4,THIN,0,"farm-equipment + modular bldgs, microcap",0.292,95.0,2937.0,6483757.0,Med,High,Med,High,Low,6,full,"Founder dead (Luscombe 2008); McConnell family ~46pct owner-operator; microcap, tiny staff, recent CEO churn. Quasi-control turnaround, not an aging-founder seller.",Headwind,Fragmented,Farm equipment + modular buildings; soft farm income (down real 2026) cuts implement capex + steel cost; microcap; fragmented short-line implement tail.,judgment
TLF,"Tandy Leather Factory, Inc.",Specialty Retail,Consumer Cyclical,F,True,36.7,0.48,356.0,1.9,-11.3,13.1,Above,ind,83.0,58.7,sparse,46.5,3.8,8.9,THIN,0,"leathercraft retailer, net cash, illiquid",0.032,401.0,10103000.0,27717000.0,Low,High,High,Med,Low,5,full,"Founder family long gone; institutional turnaround owners (~59pct inst), external CEO Jan-2025. Material weakness = under-prof High, but owner-dependence/succession fail. Already in play.",Neutral,Fragmented,"Leathercraft hobby retailer; niche durable hobbyist demand + net cash; leather-input/tariff cost; tiny scale; no real build-up runway, single-brand.",judgment
QRHC,Quest Resource Holding Corporat,Waste Management,Industrials,B,True,89.9,0.37,12.1,0.4,-54.2,54.6,Above,ind,83.0,35.1,→ 12B/14S net +$2.5M (sellers>buyers),62.0,13.0,15.1,THIN,2,"asset-light waste broker, debt-heavy",-0.098,195.0,1139000.0,65992000.0,Med,Med,Med,High,unverified,5,proxy,proxy-only: float/growth/group screen; founder & age unverified,Neutral,Fragmented,Asset-light waste-broker; steady recurring waste-stream demand but debt-heavy + thin take; fragmented regional-hauler/broker tail = roll-up runway.,judgment
DLTH,Duluth Holdings Inc.,Apparel Retail,Consumer Cyclical,B,True,260.2,0.46,17.1,4.2,-1.0,5.2,Above,ind,73.0,23.5,↓ 10B/12S net -$0.65M,28.6,10.0,34.4,THIN,1,"DTC apparel, lease-levered, falling inst",-0.105,746.0,16345000.0,147435008.0,High,Low,Med,High,unverified,5,proxy,proxy-only: float/growth/group screen; founder & age unverified,Headwind,Fragmented,DTC casual apparel; soft discretionary traffic + import-tariff cost; lease-levered; brand-specific not roll-up; trade-down pressure on mid-price.,judgment
MHH,"Mastech Digital, Inc",Staffing & Employment Services,Industrials,D,True,42.4,0.23,6.9,0.1,-3.9,4.0,Above,ind,67.0,18.3,sparse,33.9,4.1,26.0,THIN,2,"IT staffing turnaround, net cash, data segment",-0.15,1288.0,33550000.0,2122000.0,High,Low,Med,High,unverified,5,proxy,proxy-only: float/growth/group screen; founder & age unverified,Headwind,Fragmented,"IT staffing + data segment; commoditized IT-staffing under AI/offshore pressure, soft hiring; net cash; fragmented but low-margin; turnaround not secular tailwind.",judgment
JOUT,Johnson Outdoors Inc.,Leisure,Consumer Cyclical,F,False,407.6,0.62,14.9,5.3,-3.0,8.4,Above,ind,67.0,69.8,↓ 65B/37S net -$24M,62.7,5.8,263.0,,1,"Minn Kota/Humminbird outdoors, net cash",0.155,1300.0,107876000.0,45985000.0,High,Low,Low,Med,High,5,full,"Johnson family controlled-company, Helen Johnson-Leipold CEO since 1999, age 68 (5th gen). BUT multi-brand built by acquisition and professionally run -> no-M&A and under-prof both fail.",Headwind,Barbell,Outdoor recreation (Minn Kota/Humminbird); post-COVID boating demand normalized lower + discretionary softness; net cash; consolidated marine-electronics top + tail.,judgment
MSGM,Motorsport Games Inc.,Electronic Gaming & Multimedia,Communication Services,D,False,13.1,0.97,2.9,26.9,-8.1,34.9,Above,sec(5),98.0,11.3,sparse,68.3,2.9,11.8,THIN,0,"racing-sim turnaround, net cash",1.293,26.0,5859299.0,8724.0,Med,High,Med,Low,unverified,4,proxy,proxy-only: float/growth/group screen; founder & age unverified,Neutral,Consolidated,"Racing-sim games; niche licensed-IP gaming, turnaround; volatile dev economics; licenses concentrated, few players; not a build-up vehicle.",judgment
LIVE,Live Ventures Incorporated,Home Improvement Retail,Consumer Cyclical,A,True,248.8,0.57,7.4,1.9,-0.9,2.9,Above,sec(2),64.0,7.3,sparse,28.3,0.9,9.1,THIN,0,"Hardy-style holdco roll-up, high leverage",-0.038,1366.0,15173000.0,232367008.0,High,Low,Low,High,unverified,4,proxy,proxy-only: float/growth/group screen; founder & age unverified,Neutral,Fragmented,Hardy-style holdco roll-up (flooring/retail/steel); high leverage; mixed cyclical end-markets; explicitly a serial acquirer in fragmented small-cap targets.,judgment
