Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,cap_category,sector_filter
CAPS,Capstone Holding Corp,Basic Materials,Building Materials,USA,4020000.0,,0.32,0.0449,528237.0,Nano,Basic Materials
GRML,Greenland Mines Ltd,Basic Materials,Other Precious Metals & Mining,USA,43220000.0,,0.36,-0.0093,2602537.0,Nano,Basic Materials
JCTC,Jewett-Cameron Trading Co Ltd,Basic Materials,Lumber & Wood Production,USA,7740000.0,,2.2,-0.1093,86354.0,Nano,Basic Materials
ORGN,Origin Materials Inc,Basic Materials,Chemicals,USA,8310000.000000001,,1.51,0.0,31912.0,Nano,Basic Materials
SNES,SenesTech Inc,Basic Materials,Specialty Chemicals,USA,9490000.0,,1.79,0.0,21850.0,Nano,Basic Materials
ACCS,ACCESS Newswire Inc,Communication Services,Advertising Agencies,USA,25040000.0,,6.45,0.0206,14898.0,Nano,Communication Services
BBGI,Beasley Broadcast Group Inc,Communication Services,Broadcasting,USA,28360000.0,,15.7,-0.0101,4110.0,Nano,Communication Services
CAST,Freecast Inc,Communication Services,Broadcasting,USA,32970000.0,,0.81,-0.0197999999999999,236393.0,Nano,Communication Services
CDLX,Cardlytics Inc,Communication Services,Advertising Agencies,USA,40900000.0,,0.71,-0.0042,280490.0,Nano,Communication Services
DLPN,Dolphin Entertainment Inc,Communication Services,Advertising Agencies,USA,16660000.0,,1.28,0.024,6532.0,Nano,Communication Services
DRCT,Direct Digital Holdings Inc,Communication Services,Advertising Agencies,USA,2510000.0,,2.89,-0.0521,24670.0,Nano,Communication Services
EDUC,Educational Development Corp,Communication Services,Publishing,USA,12380000.0,5.42,1.46,0.0034,311171.0,Nano,Communication Services
GAME,GameSquare Holdings Inc,Communication Services,Electronic Gaming & Multimedia,USA,38940000.0,,0.42,0.0092,903778.0,Nano,Communication Services
GDC,GD Culture Group Limited,Communication Services,Electronic Gaming & Multimedia,USA,6790000.0,,0.11,-0.0542999999999999,46966756.0,Nano,Communication Services
GIFT,Giftify Inc,Communication Services,Internet Content & Information,USA,30020000.0,,0.88,0.0137,62263.0,Nano,Communication Services
GXAI,Gaxos.AI Inc,Communication Services,Electronic Gaming & Multimedia,USA,11900000.0,,1.16,-0.021,367473.0,Nano,Communication Services
IQST,iQSTEL Inc,Communication Services,Telecom Services,USA,7780000.0,,1.15,-0.0043,163442.0,Nano,Communication Services
KUST,Kustom Entertainment Inc,Communication Services,Entertainment,USA,2060000.0,,3.28,0.0446,71451.0,Nano,Communication Services
MSGM,Motorsport Games Inc,Communication Services,Electronic Gaming & Multimedia,USA,20030000.0,3.51,4.11,-0.0191,7373.0,Nano,Communication Services
ONFO,Onfolio Holdings Inc,Communication Services,Internet Content & Information,USA,4530000.0,,0.68,0.0074,37813.0,Nano,Communication Services
RDI,Reading International Inc,Communication Services,Entertainment,USA,36850000.0,,1.09,-0.0345,23835.0,Nano,Communication Services
SLE,Super League Enterprise Inc,Communication Services,Internet Content & Information,USA,5000000.0,,3.33,-0.0235,43059.0,Nano,Communication Services
